"","slug","symbol","name","date","ranknow","open","high","low","close","volume","market","close_ratio","spread"
"1","bitcoin","BTC","Bitcoin",2017-01-01,1,963.66,1003.08,958.7,998.33,147775008,16050407461,0.892969806219017,44.38
"2","bitcoin","BTC","Bitcoin",2017-01-02,1,998.62,1031.39,996.7,1021.75,222184992,16429024775,0.722110118189679,34.69
"3","bitcoin","BTC","Bitcoin",2017-01-03,1,1021.6,1044.08,1021.6,1043.84,185168000,16786368910,0.989323843416365,22.48
"4","bitcoin","BTC","Bitcoin",2017-01-04,1,1044.4,1159.42,1044.4,1154.73,344945984,18571869009,0.95922448269866,115.02
"5","bitcoin","BTC","Bitcoin",2017-01-05,1,1156.73,1191.1,910.42,1013.38,510199008,16300254795,0.366823428815733,280.68
"6","bitcoin","BTC","Bitcoin",2017-01-06,1,1014.24,1046.81,883.94,902.2,351876000,14513695758,0.112113955915761,162.87
"7","bitcoin","BTC","Bitcoin",2017-01-07,1,903.49,908.59,823.56,908.59,279550016,14618030536,1,85.03
"8","bitcoin","BTC","Bitcoin",2017-01-08,1,908.17,942.72,887.25,911.2,158715008,14661966429,0.43176491797368,55.47
"9","bitcoin","BTC","Bitcoin",2017-01-09,1,913.24,913.69,879.81,902.83,141876992,14528815565,0.679456906729637,33.88
"10","bitcoin","BTC","Bitcoin",2017-01-10,1,902.44,914.87,901.06,907.68,115808000,14608685049,0.479362780593773,13.81
"11","bitcoin","BTC","Bitcoin",2017-01-11,1,908.11,919.45,762.77,777.76,310928992,12519135996,0.0956727087056421,156.68
"12","bitcoin","BTC","Bitcoin",2017-01-12,1,775.18,826.25,755.76,804.83,222326000,12956730411,0.696127110228402,70.49
"13","bitcoin","BTC","Bitcoin",2017-01-13,1,803.74,829,780,823.98,168968000,13266554392,0.897551020408164,49
"14","bitcoin","BTC","Bitcoin",2017-01-14,1,825.14,835.09,812.46,818.41,93063296,13178601992,0.262925320371186,22.63
"15","bitcoin","BTC","Bitcoin",2017-01-15,1,818.14,823.31,812.87,821.8,71013600,13234840657,0.855363984674325,10.44
"16","bitcoin","BTC","Bitcoin",2017-01-16,1,821.78,834.53,820.27,831.53,82755200,13393372620,0.789621318373071,14.26
"17","bitcoin","BTC","Bitcoin",2017-01-17,1,830.95,910.56,830.8,907.94,155095008,14625779851,0.96715145436309,79.76
"18","bitcoin","BTC","Bitcoin",2017-01-18,1,909.37,917.5,858.3,886.62,225676992,14284036613,0.478378378378379,59.2
"19","bitcoin","BTC","Bitcoin",2017-01-19,1,888.34,904.61,884.34,899.07,105625000,14486616700,0.726689689195857,20.27
"20","bitcoin","BTC","Bitcoin",2017-01-20,1,898.17,899.4,887.01,895.03,86728400,14423545371,0.647296206618239,12.39
"21","bitcoin","BTC","Bitcoin",2017-01-21,1,895.55,927.37,895.53,921.79,111158000,14856911163,0.824748743718593,31.84
"22","bitcoin","BTC","Bitcoin",2017-01-22,1,922.21,937.53,897.56,924.67,116573000,14905439337,0.678258694020516,39.97
"23","bitcoin","BTC","Bitcoin",2017-01-23,1,925.5,928.27,916.74,921.01,73588600,14848013909,0.370338248048567,11.53
"24","bitcoin","BTC","Bitcoin",2017-01-24,1,910.68,924.15,892.29,892.69,111349000,14393026385,0.012554927809168,31.86
"25","bitcoin","BTC","Bitcoin",2017-01-25,1,891.92,903.25,891.69,901.54,120831000,14537488261,0.852076124567466,11.56
"26","bitcoin","BTC","Bitcoin",2017-01-26,1,902.4,919.33,902.22,917.59,131958000,14797955301,0.898305084745763,17.11
"27","bitcoin","BTC","Bitcoin",2017-01-27,1,918.36,923.22,915.85,919.75,125594000,14834831700,0.529172320217093,7.37
"28","bitcoin","BTC","Bitcoin",2017-01-28,1,919.81,923.91,919.81,921.59,68979600,14866260449,0.434146341463436,4.1
"29","bitcoin","BTC","Bitcoin",2017-01-29,1,922.07,923.42,919.15,919.5,60851700,14834377926,0.0819672131147594,4.27
"30","bitcoin","BTC","Bitcoin",2017-01-30,1,920.15,923.05,919.47,920.38,78227296,14850351605,0.254189944134069,3.58
"31","bitcoin","BTC","Bitcoin",2017-01-31,1,920.96,972.02,920.96,970.4,164582000,15659186515,0.968272620446532,51.06
"32","bitcoin","BTC","Bitcoin",2017-02-01,1,970.94,989.11,970.74,989.02,150110000,15962015276,0.995100707675556,18.37
"33","bitcoin","BTC","Bitcoin",2017-02-02,1,990,1013.52,983.22,1011.8,145820992,16331615570,0.943234323432341,30.3
"34","bitcoin","BTC","Bitcoin",2017-02-03,1,1011.46,1033.87,1008.79,1029.91,201278000,16625849489,0.842105263157899,25.08
"35","bitcoin","BTC","Bitcoin",2017-02-04,1,1031.33,1045.9,1015.16,1042.9,155064000,16837411920,0.902407286922581,30.74
"36","bitcoin","BTC","Bitcoin",2017-02-05,1,1043.52,1043.63,1022.37,1027.34,114208000,16588240157,0.233772342427089,21.26
"37","bitcoin","BTC","Bitcoin",2017-02-06,1,1028.4,1044.64,1028.16,1038.15,111762000,16764422010,0.60618932038835,16.48
"38","bitcoin","BTC","Bitcoin",2017-02-07,1,1040.14,1061.93,1040.14,1061.35,146007008,17141080574,0.973382285452034,21.79
"39","bitcoin","BTC","Bitcoin",2017-02-08,1,1062.32,1078.97,1037.49,1063.07,201855008,17170799127,0.616682738669237,41.48
"40","bitcoin","BTC","Bitcoin",2017-02-09,1,1064.7,1088.99,953.34,994.38,407220000,16063448932,0.302543309988942,135.65
"41","bitcoin","BTC","Bitcoin",2017-02-10,1,995.63,998.91,946.69,988.67,190452000,15973053725,0.803906549214858,52.22
"42","bitcoin","BTC","Bitcoin",2017-02-11,1,988.9,1009.29,982.83,1004.45,102261000,16229677099,0.81708238851096,26.46
"43","bitcoin","BTC","Bitcoin",2017-02-12,1,1003.52,1004.76,996.92,999.18,67530000,16146290349,0.288265306122448,7.84
"44","bitcoin","BTC","Bitcoin",2017-02-13,1,998.89,1002.1,976,990.64,100607000,16010322103,0.560919540229885,26.1
"45","bitcoin","BTC","Bitcoin",2017-02-14,1,991.73,1011.51,986.47,1004.55,137946000,16237219721,0.722044728434502,25.04
"46","bitcoin","BTC","Bitcoin",2017-02-15,1,1006.21,1008.84,1001.58,1007.48,89759400,16286329282,0.812672176308537,7.26
"47","bitcoin","BTC","Bitcoin",2017-02-16,1,1007.65,1033.37,1007.65,1027.44,122277000,16610905026,0.769440124416799,25.72
"48","bitcoin","BTC","Bitcoin",2017-02-17,1,1026.12,1053.17,1025.64,1046.21,136474000,16916338976,0.747184889211767,27.53
"49","bitcoin","BTC","Bitcoin",2017-02-18,1,1049.21,1061.1,1046.96,1054.42,99073504,17051064834,0.52758132956153,14.14
"50","bitcoin","BTC","Bitcoin",2017-02-19,1,1054.76,1056.81,1043.46,1047.87,77423296,16946913346,0.330337078651674,13.35
"51","bitcoin","BTC","Bitcoin",2017-02-20,1,1048.69,1080.49,1041.69,1079.98,109478000,17468244508,0.986855670103092,38.8
"52","bitcoin","BTC","Bitcoin",2017-02-21,1,1079.28,1117.25,1076.93,1115.3,186868992,18041455273,0.951636904761902,40.32
"53","bitcoin","BTC","Bitcoin",2017-02-22,1,1114.8,1125.39,1100.55,1117.44,136100000,18077985665,0.67995169082126,24.84
"54","bitcoin","BTC","Bitcoin",2017-02-23,1,1117.27,1176.62,1116.96,1166.72,189454000,18877442096,0.834059671471673,59.66
"55","bitcoin","BTC","Bitcoin",2017-02-24,1,1172.71,1200.39,1131.96,1173.68,330759008,18992415818,0.609674119538215,68.43
"56","bitcoin","BTC","Bitcoin",2017-02-25,1,1170.41,1174.85,1124.59,1143.84,139960992,18511906560,0.383008356545961,50.26
"57","bitcoin","BTC","Bitcoin",2017-02-26,1,1144.27,1167.47,1130.2,1165.2,116486000,18860247630,0.939093104373491,37.27
"58","bitcoin","BTC","Bitcoin",2017-02-27,1,1163.78,1181.98,1163.38,1179.97,131570000,19101427518,0.891935483870963,18.6
"59","bitcoin","BTC","Bitcoin",2017-02-28,1,1180.72,1193.25,1171.82,1179.97,184956000,19103684801,0.38030797946804,21.43
"60","bitcoin","BTC","Bitcoin",2017-03-01,1,1180.04,1222.5,1179.69,1222.5,229056992,19794459608,0.999999999999999,42.81
"61","bitcoin","BTC","Bitcoin",2017-03-02,1,1224.68,1262.13,1215.62,1251.01,368275008,20258543188,0.760911631907119,46.51
"62","bitcoin","BTC","Bitcoin",2017-03-03,1,1250.71,1280.31,1250.71,1274.99,315739008,20649259919,0.820270270270269,29.6
"63","bitcoin","BTC","Bitcoin",2017-03-04,1,1277.43,1279.4,1230.51,1255.15,183270000,20329978338,0.503988545714872,48.89
"64","bitcoin","BTC","Bitcoin",2017-03-05,1,1254.29,1267.29,1238.06,1267.12,134127000,20526235270,0.994184057475195,29.23
"65","bitcoin","BTC","Bitcoin",2017-03-06,1,1267.47,1276,1264.6,1272.83,153656992,20620991547,0.721929824561405,11.4
"66","bitcoin","BTC","Bitcoin",2017-03-07,1,1273.21,1275.55,1204.8,1223.54,291256000,19824773912,0.264876325088339,70.75
"67","bitcoin","BTC","Bitcoin",2017-03-08,1,1223.23,1232.16,1148.08,1150,332603008,18635275050,0.022835394862037,84.08
"68","bitcoin","BTC","Bitcoin",2017-03-09,1,1150.35,1197.46,1141.23,1188.49,212283008,19261188310,0.840476613907167,56.23
"69","bitcoin","BTC","Bitcoin",2017-03-10,1,1189.36,1270.47,1077.25,1116.72,563795968,18100188612,0.204274919780561,193.22
"70","bitcoin","BTC","Bitcoin",2017-03-11,1,1116.32,1193.83,1116.32,1175.83,283320000,19060468862,0.767771900399948,77.51
"71","bitcoin","BTC","Bitcoin",2017-03-12,1,1176.62,1226.98,1175.36,1221.38,227176000,19801195767,0.891514916698958,51.62
"72","bitcoin","BTC","Bitcoin",2017-03-13,1,1221.78,1237.37,1217.03,1231.92,380276992,19974334865,0.732055063913476,20.34
"73","bitcoin","BTC","Bitcoin",2017-03-14,1,1232.16,1244.81,1220.72,1240,245306000,20107761880,0.80033208800332,24.09
"74","bitcoin","BTC","Bitcoin",2017-03-15,1,1240.16,1251.61,1239.75,1249.61,297804992,20265831337,0.831365935919047,11.86
"75","bitcoin","BTC","Bitcoin",2017-03-16,1,1251.33,1257.98,1152.44,1187.81,638568000,19265847025,0.335133598635587,105.54
"76","bitcoin","BTC","Bitcoin",2017-03-17,1,1180.16,1180.16,1099.57,1100.23,706598976,17847435957,0.0081896016875553,80.59
"77","bitcoin","BTC","Bitcoin",2017-03-18,1,1099.69,1114.07,957.66,973.82,621302016,15798760668,0.103318202160988,156.41
"78","bitcoin","BTC","Bitcoin",2017-03-19,1,976.73,1069.91,976.73,1036.74,406648000,16821676707,0.644022322386778,93.18
"79","bitcoin","BTC","Bitcoin",2017-03-20,1,1037.24,1063.03,1036.68,1054.23,286529984,17107266418,0.666034155597721,26.35
"80","bitcoin","BTC","Bitcoin",2017-03-21,1,1055.36,1122.43,1055.36,1120.54,337391008,18185299687,0.971820486059342,67.07
"81","bitcoin","BTC","Bitcoin",2017-03-22,1,1120.65,1120.65,1014.21,1049.14,380840992,17028630158,0.328166102968809,106.44
"82","bitcoin","BTC","Bitcoin",2017-03-23,1,1050.05,1058.01,1028.93,1038.59,248540000,16859314109,0.332187070151302,29.08
"83","bitcoin","BTC","Bitcoin",2017-03-24,1,1038.45,1040.47,934.36,937.52,491038016,15220718764,0.0297804165488641,106.11
"84","bitcoin","BTC","Bitcoin",2017-03-25,1,936.54,975.76,903.71,972.78,435803008,15794781102,0.958639833448993,72.05
"85","bitcoin","BTC","Bitcoin",2017-03-26,1,974.02,1007.96,954.19,966.72,303668000,15698465531,0.233029570392412,53.77
"86","bitcoin","BTC","Bitcoin",2017-03-27,1,972.05,1046.4,971.98,1045.77,372535008,16983801541,0.991534533727492,74.42
"87","bitcoin","BTC","Bitcoin",2017-03-28,1,1044.58,1064.65,1027.73,1047.15,326332000,17008241726,0.526002166847239,36.92
"88","bitcoin","BTC","Bitcoin",2017-03-29,1,1046.08,1055.13,1015.88,1039.97,298457984,16893415156,0.61375796178344,39.25
